glucose_HSQC,scale_9,scale_41,scale_63,scale_18,scale_34,scale_81,scale_92,scale_96,scale_77,scale_9.1,scale_41.1,scale_63.1,scale_18.1,scale_34.1,scale_81,scale_92,scale_96,scale_77
0.3138966107595952,0.6633640548711449,0.7802154979039251,0.069211678270057,0.1559812772682619,0.0945791364805815,0.4484219628098632,0.051152085671879,1.027471619620678,0.0723997048603839,0.6633640548711449,0.7802154979039251,0.069211678270057,0.1559812772682619,0.0945791364805815,0.4484219628098632,0.05115208567187909,1.027471619620678,0.07239970486038395
0.3086896240333833,0.6558382579565928,0.762090757164139,0.0699762205530024,0.1655239470145077,0.0927775446810413,0.454912777302981,0.0647084306268255,1.0810415570543266,0.0578808903738715,0.6558382579565928,0.762090757164139,0.0699762205530024,0.1655239470145077,0.0927775446810413,0.454912777302981,0.06470843062682559,1.0810415570543266,0.05788089037387158
0.3072391266146481,0.6427814022963395,0.7805679809338533,0.0761231235322974,0.1776519263265574,0.101482278718127,0.4577847231020368,0.0687832294929811,1.1278894020712456,0.0745343386021279,0.6427814022963395,0.7805679809338533,0.0761231235322974,0.1776519263265574,0.101482278718127,0.45778472310203683,0.06878322949298117,1.1278894020712456,0.07453433860212794
0.307975009604775,0.6394643814617871,0.7703731657605111,0.0780725184098208,0.1795273215069391,0.0997519410745308,0.4769560520210018,0.0709109863902108,1.1765876841153864,0.061652695239765,0.6394643814617871,0.7703731657605111,0.0780725184098208,0.1795273215069391,0.0997519410745308,0.47695605202100183,0.07091098639021082,1.1765876841153864,0.06165269523976508
0.3015416493865017,0.6280207434500596,0.7515432626445684,0.0719196999584814,0.2052332492279659,0.1042544150005793,0.4857737198967575,0.071046944089083,1.2158061118553232,0.0618247404938133,0.6280207434500596,0.7515432626445684,0.0719196999584814,0.2052332492279659,0.1042544150005793,0.4857737198967575,0.07104694408908308,1.2158061118553232,0.06182474049381333
glucose_HSQC,,,,,,,,,,,,,,,,,,
0.35657581194487453,,,,,,,,,,,,,,,,,,
0.35464893570178097,,,,,,,,,,,,,,,,,,
0.33626050175282163,,,,,,,,,,,,,,,,,,
0.34402691893726967,,,,,,,,,,,,,,,,,,
0.3334818321793803,,,,,,,,,,,,,,,,,,
0.3373104706141694,,,,,,,,,,,,,,,,,,
0.33143764539892506,,,,,,,,,,,,,,,,,,
0.3314487921229678,,,,,,,,,,,,,,,,,,
0.3342110606243327,,,,,,,,,,,,,,,,,,
0.31778090486547894,,,,,,,,,,,,,,,,,,
0.31389661075959524,,,,,,,,,,,,,,,,,,
0.3086896240333833,,,,,,,,,,,,,,,,,,
0.30723912661464814,,,,,,,,,,,,,,,,,,
0.307975009604775,,,,,,,,,,,,,,,,,,
0.30154164938650174,,,,,,,,,,,,,,,,,,
